sample,frame,type,emu_pc,emu_a,emu_x,emu_y,emu_sp,emu_status,nmi_ctr,last_nmi,irq_count,int_cond,mapper_bank,cache_idx,info
1,0,STATUS_I,2B61,FF,1D,BE,F5,B4,00,00,AA,00,00,00,old=00 new=34 I:0->1 emu_pc=2B61
2,0,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,AA,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
3,1,FRAME,2CB0,00,1D,BE,F9,B1,00,00,AA,00,00,00,irq_delta=170 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=11 run=6 render=0 irq6502=0
4,1,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,AA,00,00,00,val=01 nmi_ctr=01
5,1,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,AA,00,00,00,old=00 new=80 emu_pc=2CB3
6,1,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,AA,80,00,00,count=1
7,2,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,AA,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=11 run=6 render=1 irq6502=0
8,2,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,AA,80,00,00,old=80 new=00 emu_pc=2CB3
9,2,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,AB,00,00,00,emu_pc=2CB3 status=B1 count=1
10,2,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,AB,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
11,2,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,AB,00,00,00,val=00 nmi_ctr=00
12,2,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,AB,00,00,00,old=00 new=80 emu_pc=2B0F
13,2,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,AB,80,00,00,count=2
14,3,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,AB,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=12 run=7 render=2 irq6502=1
15,3,INT_COND,2B5C,00,1D,BE,F2,36,00,00,AB,80,00,00,old=80 new=00 emu_pc=2B5C
16,3,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,AB,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
17,4,FRAME,2CB0,00,1D,BE,F9,B1,00,00,AB,00,00,00,irq_delta=0 nmi_delta=0 I=0 intcond=00 last_nmi=00 nmi_ctr=00 disp=34 run=19 render=2 irq6502=1
18,4,LAST_NMI_W,2CB3,FF,1D,BE,F9,B1,01,00,AB,00,00,00,val=01 nmi_ctr=01
19,4,INT_COND,2CB3,FF,1D,BE,F9,B1,01,01,AB,00,00,00,old=00 new=80 emu_pc=2CB3
20,4,RENDER,2CB3,FF,1D,BE,F9,B1,01,01,AB,80,00,00,count=3
21,5,FRAME,2CB3,FF,1D,BE,F9,B1,01,01,AB,80,02,00,irq_delta=0 nmi_delta=1 I=0 intcond=80 last_nmi=01 nmi_ctr=01 disp=34 run=19 render=3 irq6502=1
22,5,INT_COND,2CB3,FF,1D,BE,F9,B1,00,01,AB,80,00,00,old=80 new=00 emu_pc=2CB3
23,5,IRQ6502,2CB3,FF,1D,BE,F9,B1,00,01,AC,00,00,00,emu_pc=2CB3 status=B1 count=2
24,5,STATUS_I,2CB3,FF,1D,BE,F6,B1,00,01,AC,00,00,00,old=B1 new=B5 I:0->1 emu_pc=2CB3
25,5,LAST_NMI_W,2B0F,FF,1D,BE,F5,B5,00,01,AC,00,00,00,val=00 nmi_ctr=00
26,5,INT_COND,2B0F,FF,1D,BE,F5,B5,00,00,AC,00,00,00,old=00 new=80 emu_pc=2B0F
27,5,RENDER,2B0F,FF,1D,BE,F5,B5,00,00,AC,80,00,00,count=4
28,6,FRAME,2B0F,FF,1D,BE,F5,B5,00,00,AC,80,02,00,irq_delta=1 nmi_delta=255 I=1 intcond=80 last_nmi=00 nmi_ctr=00 disp=35 run=20 render=4 irq6502=2
29,6,INT_COND,2B5C,00,1D,BE,F2,36,00,00,AC,80,00,00,old=80 new=00 emu_pc=2B5C
30,6,STATUS_I,2B63,FF,1D,BE,F7,B5,00,00,AC,00,00,00,old=B5 new=B1 I:1->0 emu_pc=2B63
