PC history watch started

Watching...
*** TRANSITION at Frame 187: PC_HI $2A -> $28 ***

PC history (last 50 PC_HI writes):
  Frame 179: PC=$2A00 (HI=$2A)
  Frame 179: PC=$2A00 (HI=$2A)
  Frame 179: PC=$2A00 (HI=$2A)
  Frame 179: PC=$2A00 (HI=$2A)
  Frame 179: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 180: PC=$2A00 (HI=$2A)
  Frame 181: PC=$2A00 (HI=$2A)
  Frame 181: PC=$2A00 (HI=$2A)
  Frame 181: PC=$2A00 (HI=$2A)
  Frame 181: PC=$2A00 (HI=$2A)
  Frame 181: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 182: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 183: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 184: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 185: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 186: PC=$2A00 (HI=$2A)
  Frame 187: PC=$2A00 (HI=$2A)
  Frame 187: PC=$2A00 (HI=$2A)
  Frame 187: PC=$2A00 (HI=$2A)
  Frame 187: PC=$2800 (HI=$28)
