frame,type,value,pc,sp
2,PCL,00,0000,00
2,PCH,00,0000,00
2,SP=,00,0000,00
9,PCL,00,0000,00
9,PCH,28,0000,00
9,SP=,FD,2800,00
9,PCL,00,2800,FD
9,PCL,01,2800,FD
9,PCL,01,2801,FD
9,PCL,02,2801,FD
9,PCL,02,2802,FD
9,PCL,03,2802,FD
10,PCL,03,2803,FD
10,PCL,04,2803,FD
10,PCL,04,2804,FD
10,PCL,05,2804,FD
10,PCL,05,2805,FD
10,PCL,06,2805,FD
10,PCL,06,2806,FD
10,PCL,07,2806,FD
10,PCL,07,2807,FD
10,PCL,08,2807,FD
10,PCL,08,2808,FD
10,PCL,09,2808,FD
10,PCL,09,2809,FD
10,PCL,0A,2809,FD
10,PCL,0A,280A,FD
10,PCL,0B,280A,FD
10,PCL,0B,280B,FD
10,PCL,0C,280B,FD
10,PCL,0C,280C,FD
10,PCL,0D,280C,FD
10,PCL,0D,280D,FD
10,PCL,0E,280D,FD
10,PCL,0E,280E,FD
10,PCL,0F,280E,FD
10,PCL,0F,280F,FD
10,PCL,10,280F,FD
10,PCL,10,2810,FD
10,PCL,11,2810,FD
10,PCL,11,2811,FD
10,PCL,12,2811,FD
10,PCL,12,2812,FD
10,PCL,13,2812,FD
10,PCL,13,2813,FD
10,PCL,14,2813,FD
10,PCL,14,2814,FD
10,PCL,15,2814,FD
10,PCL,15,2815,FD
10,PCL,16,2815,FD
11,PCL,16,2816,FD
11,PCL,17,2816,FD
11,PCL,17,2817,FD
11,PCL,18,2817,FD
11,PCH,28,2818,FD
11,PCL,00,2818,FD
11,SP=,FF,2800,FD
11,PCL,18,2800,FF
11,PCH,28,2818,FF
11,PCL,18,2818,FF
11,PCL,19,2818,FF
11,PCL,19,2819,FF
11,PCL,1A,2819,FF
11,PCL,1A,281A,FF
11,PCL,1B,281A,FF
11,SP=,FF,281B,FF
11,SP=,FE,281B,FF
11,SP=,FE,281B,FE
11,SP=,FD,281B,FE
11,PCH,29,281B,FD
11,PCL,FC,291B,FD
11,PCL,FC,29FC,FD
11,PCL,FD,29FC,FD
11,PCL,FD,29FD,FD
11,PCL,FE,29FD,FD
11,PCL,FE,29FE,FD
11,PCL,FF,29FE,FD
11,SP=,FD,29FF,FD
11,SP=,FC,29FF,FD
11,SP=,FC,29FF,FC
11,SP=,FB,29FF,FC
11,PCH,2A,29FF,FB
11,PCL,25,2AFF,FB
11,PCL,25,2A25,FB
11,PCL,26,2A25,FB
11,PCL,26,2A26,FB
11,PCL,27,2A26,FB
11,PCL,27,2A27,FB
11,PCL,28,2A27,FB
11,PCL,28,2A28,FB
11,PCL,29,2A28,FB
11,PCL,29,2A29,FB
11,PCL,2A,2A29,FB
11,PCL,2A,2A2A,FB
11,PCL,2B,2A2A,FB
11,PCL,2B,2A2B,FB
11,PCL,2C,2A2B,FB
11,PCL,2C,2A2C,FB
11,PCL,2D,2A2C,FB
12,PCH,2A,2A2D,FB
12,PCL,25,2A2D,FB
12,PCL,2D,2A25,FB
12,PCH,2A,2A2D,FB
12,PCL,2D,2A2D,FB
12,PCL,2E,2A2D,FB
12,SP=,FB,2A2E,FB
12,SP=,FC,2A2E,FB
12,SP=,FC,2A2E,FC
12,SP=,FD,2A2E,FC
12,PCL,FF,2A2E,FD
12,PCH,29,2AFF,FD
12,PCL,FF,29FF,FD
12,PCL,00,29FF,FD
12,PCH,29,2900,FD
12,PCH,2A,2900,FD
12,PCL,00,2A00,FD
12,PCL,01,2A00,FD
12,PCL,01,2A01,FD
12,PCL,02,2A01,FD
12,PCH,29,2A02,FD
12,PCL,FF,2902,FD
12,PCL,02,29FF,FD
12,PCH,2A,2902,FD
12,PCL,02,2A02,FD
12,PCL,03,2A02,FD
12,PCL,03,2A03,FD
12,PCL,04,2A03,FD
12,PCL,04,2A04,FD
12,PCL,05,2A04,FD
12,PCL,05,2A05,FD
12,PCL,06,2A05,FD
12,PCH,2A,2A06,FD
12,PCL,04,2A06,FD
12,PCL,06,2A04,FD
12,PCH,2A,2A06,FD
12,PCL,06,2A06,FD
12,PCL,07,2A06,FD
12,PCL,07,2A07,FD
12,PCL,08,2A07,FD
12,PCL,00,2A08,FD
12,PCH,2A,2A00,FD
12,PCL,02,2A00,FD
12,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
13,PCL,07,2A06,FD
13,PCL,07,2A07,FD
13,PCL,08,2A07,FD
13,PCL,00,2A08,FD
13,PCH,2A,2A00,FD
13,PCL,02,2A00,FD
13,PCH,2A,2A02,FD
13,PCL,02,2A02,FD
13,PCL,03,2A02,FD
13,PCL,03,2A03,FD
13,PCL,04,2A03,FD
13,PCL,06,2A04,FD
13,PCH,2A,2A06,FD
13,PCL,06,2A06,FD
