PC write watch started
Watching for writes to $0058-$0059 (emulated PC)

Watching for PC writes...
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 6: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 7: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 8: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 9: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 10: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 11: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 12: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 12: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 12: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
Frame 12: Write to PC_LO ($0058) = $00, PC_HI = $00, Full PC = $0000
