PC write watch started - logging ALL writes
Watching for writes to $0058-$0059 (emulated PC)

Watching for PC writes (capped at 500)...
Frame 10: PC_HI = $28, Full PC = $2800
*** POTENTIAL REBOOT: PC_HI = $28 ***
Frame 10: PC_LO = $01, Full PC = $0001
Frame 10: PC_LO = $02, Full PC = $0002
Frame 10: PC_LO = $03, Full PC = $0003
Frame 11: PC_LO = $04, Full PC = $0004
Frame 11: PC_LO = $05, Full PC = $0005
Frame 11: PC_LO = $06, Full PC = $0006
Frame 11: PC_LO = $07, Full PC = $0007
Frame 11: PC_LO = $08, Full PC = $0008
Frame 11: PC_LO = $09, Full PC = $0009
Frame 11: PC_LO = $0A, Full PC = $000A
Frame 11: PC_LO = $0B, Full PC = $000B
Frame 11: PC_LO = $0C, Full PC = $000C
Frame 11: PC_LO = $0D, Full PC = $000D
Frame 11: PC_LO = $0E, Full PC = $000E
Frame 11: PC_LO = $0F, Full PC = $000F
Frame 11: PC_LO = $10, Full PC = $0010
Frame 11: PC_LO = $11, Full PC = $0011
Frame 11: PC_LO = $12, Full PC = $0012
Frame 11: PC_LO = $13, Full PC = $0013
Frame 11: PC_LO = $14, Full PC = $0014
Frame 11: PC_LO = $15, Full PC = $0015
Frame 11: PC_LO = $16, Full PC = $0016
Frame 11: PC_LO = $17, Full PC = $0017
Frame 11: PC_LO = $18, Full PC = $0018
Frame 12: PC_LO = $00, Full PC = $0000
Frame 12: PC_LO = $18, Full PC = $0018
Frame 12: PC_LO = $19, Full PC = $0019
Frame 12: PC_LO = $1A, Full PC = $001A
Frame 12: PC_LO = $1B, Full PC = $001B
Frame 12: PC_HI = $29, Full PC = $2900
Frame 12: PC_LO = $FC, Full PC = $00FC
Frame 12: PC_LO = $FD, Full PC = $00FD
Frame 12: PC_LO = $FE, Full PC = $00FE
Frame 12: PC_LO = $FF, Full PC = $00FF
Frame 12: PC_HI = $2A, Full PC = $2A00
Frame 12: PC_LO = $25, Full PC = $0025
Frame 12: PC_LO = $26, Full PC = $0026
Frame 12: PC_LO = $27, Full PC = $0027
Frame 12: PC_LO = $28, Full PC = $0028
Frame 12: PC_LO = $29, Full PC = $0029
Frame 12: PC_LO = $2A, Full PC = $002A
Frame 12: PC_LO = $2B, Full PC = $002B
Frame 12: PC_LO = $2C, Full PC = $002C
Frame 12: PC_LO = $2D, Full PC = $002D
Frame 13: PC_LO = $25, Full PC = $0025
Frame 13: PC_LO = $2D, Full PC = $002D
Frame 13: PC_LO = $2E, Full PC = $002E
Frame 13: PC_LO = $FF, Full PC = $00FF
Frame 13: PC_HI = $29, Full PC = $2900
Frame 13: PC_LO = $00, Full PC = $0000
Frame 13: PC_HI = $2A, Full PC = $2A00
Frame 13: PC_LO = $01, Full PC = $0001
Frame 13: PC_LO = $02, Full PC = $0002
Frame 13: PC_HI = $29, Full PC = $2900
Frame 13: PC_LO = $FF, Full PC = $00FF
Frame 13: PC_LO = $02, Full PC = $0002
Frame 13: PC_HI = $2A, Full PC = $2A00
Frame 13: PC_LO = $03, Full PC = $0003
Frame 13: PC_LO = $04, Full PC = $0004
Frame 13: PC_LO = $05, Full PC = $0005
Frame 13: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 14: PC_LO = $06, Full PC = $0006
Frame 14: PC_LO = $07, Full PC = $0007
Frame 14: PC_LO = $08, Full PC = $0008
Frame 14: PC_LO = $00, Full PC = $0000
Frame 14: PC_LO = $02, Full PC = $0002
Frame 14: PC_LO = $03, Full PC = $0003
Frame 14: PC_LO = $04, Full PC = $0004
Frame 15: PC_LO = $06, Full PC = $0006
Frame 15: PC_LO = $07, Full PC = $0007
Frame 15: PC_LO = $08, Full PC = $0008
Frame 15: PC_LO = $00, Full PC = $0000
Frame 15: PC_LO = $02, Full PC = $0002
Frame 15: PC_LO = $03, Full PC = $0003
Frame 15: PC_LO = $04, Full PC = $0004
Frame 15: PC_LO = $06, Full PC = $0006
Frame 15: PC_LO = $07, Full PC = $0007
Frame 15: PC_LO = $08, Full PC = $0008
Frame 15: PC_LO = $00, Full PC = $0000
Frame 15: PC_LO = $02, Full PC = $0002
Frame 15: PC_LO = $03, Full PC = $0003
Frame 15: PC_LO = $04, Full PC = $0004
Frame 15: PC_LO = $06, Full PC = $0006
Frame 15: PC_LO = $07, Full PC = $0007
Frame 15: PC_LO = $08, Full PC = $0008
Frame 15: PC_LO = $00, Full PC = $0000
Frame 15: PC_LO = $02, Full PC = $0002
Frame 15: PC_LO = $03, Full PC = $0003
Frame 15: PC_LO = $04, Full PC = $0004
Frame 15: PC_LO = $06, Full PC = $0006
Frame 15: PC_LO = $07, Full PC = $0007
Frame 15: PC_LO = $08, Full PC = $0008
Frame 15: PC_LO = $00, Full PC = $0000
Frame 15: PC_LO = $02, Full PC = $0002
Frame 15: PC_LO = $03, Full PC = $0003
Frame 15: PC_LO = $04, Full PC = $0004
Frame 15: PC_LO = $06, Full PC = $0006
